company,priceHour,priceDay,priceWeek,priceMonth
MU,83.64,90.69,94.37,1
MVID,1.0,1.0,1.0,1
MVIS,3.09,3.5,5.87,1
NAUK,1.0,1.0,1.0,1
NDAQ,179.46,182.45,206.11,1
NEE,83.03,82.88,90.83,1
NEM,63.09,64.52,59.51,1
NFAZ,1.0,1.0,1.0,1
NFLX,397.19,517.3,615.37,1
NI,27.74,27.86,26.93,1
NKE,145.17,146.16,166.41,1
NKHP,1.0,1.0,1.0,1
NKNC,1.0,1.0,1.0,1
NKNCP,1.0,1.0,1.0,1
NKSH,36.09,36.85,35.75,1
NLMK,1.0,1.0,1.0,1
NLOK,26.42,26.53,25.89,1
NMTP,1.0,1.0,1.0,1
NNSB,1.0,1.0,1.0,1
NNSBP,1.0,1.0,1.0,1
NOC,405.51,404.74,402.98,1
NOV,15.58,16.2,13.65,1
NOW,518.7,530.35,648.33,1
NPOF,1.0,1.0,1.0,1
NRG,38.55,40.0,42.55,1
NSC,279.92,278.03,288.25,1
NSVZ,1.0,1.0,1.0,1
NTAP,86.14,90.59,90.81,1
NTRS,116.0,126.63,118.5,1
NUE,95.52,105.19,114.26,1
NVDA,240.76,254.03,297.97,1
NVR,5228.54,5459.0,5639.0,1
NVTK,1.0,1.0,1.0,1
NWL,23.11,23.35,21.46,1
NWS,21.94,22.39,22.44,1
ODFL,303.18,314.14,347.96,1
OGKB,1.0,1.0,1.0,1
OGN,30.92,32.23,30.37,1
OKE,59.27,60.75,58.25,1
OMC,76.02,77.41,72.25,1
OMZZP,1.0,1.0,1.0,1
ON,56.2,60.45,66.75,1
ORCL,82.82,84.23,89.71,1
ORLY,643.75,663.95,680.48,1
ORUP,1.0,1.0,1.0,1
OSUR,8.88,8.34,9.25,1
OTIS,83.74,83.44,84.54,1
OXY,34.09,35.93,29.13,1
PAYC,320.12,333.8,397.0,1
PAYX,120.35,122.28,134.71,1
PAZA,1.0,1.0,1.0,1
PBCT,18.76,20.51,17.44,1
PBF,16.14,17.82,12.62,1
PCAR,92.75,94.52,84.87,1
PCG,12.47,12.67,12.03,1
PEG,65.72,65.69,66.14,1
PENN,41.82,43.38,51.5,1
PEP,175.06,175.63,169.6,1
PFE,52.81,53.82,58.62,1
PFG,73.11,74.95,71.57,1
PG,163.15,162.65,160.31,1
PGR,108.33,108.42,101.42,1
PH,315.16,324.82,367.31,1
PHM,52.49,54.28,55.04,1
PHOR,1.0,1.0,1.0,1
PIKK,1.0,1.0,1.0,1
PINS,29.64,32.23,37.66,1
PKG,136.29,136.79,135.63,1
PKI,175.42,176.81,182.35,1
PLTR,13.94,14.82,19.06,1
PLUG,21.75,21.67,29.22,1
PLZL,1.0,1.0,1.0,1
PM,103.18,102.14,93.13,1
PMSB,1.0,1.0,1.0,1
PMSBP,1.0,1.0,1.0,1
PNC,204.17,210.06,198.75,1
POGR,1.0,1.0,1.0,1
POLY,28.77,29.2,29.2,1
POOL,476.42,496.48,496.13,1
PPG,157.74,162.52,165.93,1
PPL,29.72,29.92,29.47,1
PRMB,1.0,1.0,1.0,1
PRU,111.08,113.89,114.74,1
PSX,83.86,87.87,72.48,1
